x,y,yaw,curvature,speed
-0.025000,-0.076921,0.021300,-0.236691,1.000
0.074980,-0.075136,0.009713,-0.162685,1.000
0.174980,-0.074978,0.003551,0.039425,1.000
0.274978,-0.074426,0.025664,0.403057,1.000
0.374855,-0.069847,0.096386,1.014044,1.000
0.473741,-0.055209,0.166385,0.388430,1.000
0.572013,-0.036737,0.140936,-0.899073,1.000
0.671505,-0.027150,0.057957,-0.763057,1.000
0.771478,-0.025164,0.011369,-0.170002,1.000
0.871478,-0.024877,0.009961,0.141836,1.000
0.971459,-0.023172,0.053103,0.722119,1.000
1.071017,-0.014271,0.135756,0.933565,1.000
1.169346,0.003859,0.167256,-0.301634,1.000
1.268150,0.019012,0.102831,-0.989293,1.000
1.367976,0.024357,0.038423,-0.301327,1.000
1.467947,0.026693,0.054819,0.629911,1.000
1.567527,0.035307,0.132973,0.935598,1.000
1.665898,0.053171,0.167245,-0.248168,1.000
1.764661,0.068587,0.105320,-0.992833,1.000
1.864466,0.074162,0.034252,-0.431125,1.000
1.964456,0.075433,0.026558,0.276999,1.000
2.064354,0.079472,0.088017,0.954621,1.000
2.163374,0.092987,0.162877,0.544955,1.000
2.261568,0.111881,0.167709,-0.447895,1.000
2.360500,0.126360,0.151035,0.114237,1.000
2.459254,0.141967,0.172652,0.318207,1.000
2.557476,0.160710,0.152452,-0.723302,1.000
2.656739,0.172310,0.090482,-0.517261,1.000
2.756525,0.178770,0.104939,0.807760,1.000
2.855366,0.193230,0.212611,1.353075,1.000
2.951391,0.220836,0.309050,0.582723,1.000
3.045722,0.254007,0.295029,-0.863835,1.000
3.142538,0.278925,0.251875,-0.000637,1.000
3.239372,0.303841,0.239476,-0.247425,1.000
3.336784,0.326353,0.218329,-0.175597,1.000
3.434591,0.347153,0.223156,0.272135,1.000
3.531800,0.370609,0.239744,0.059691,1.000
3.628869,0.394644,0.244517,0.035760,1.000
3.725851,0.419026,0.242835,-0.069391,1.000
3.822999,0.442735,0.230113,-0.185077,1.000
3.920564,0.464640,0.204049,-0.336293,1.000
4.018815,0.483255,0.202038,0.296046,1.000
4.116465,0.504767,0.227192,0.207105,1.000
4.213656,0.528299,0.235019,-0.050520,1.000
4.310964,0.551339,0.207060,-0.509111,1.000
4.409286,0.569395,0.162025,-0.392022,1.000
4.508267,0.583590,0.179761,0.747851,1.000
4.605855,0.605116,0.255970,0.778334,1.000
4.701526,0.634167,0.305270,0.209178,1.000
4.796583,0.665218,0.305477,-0.205030,1.000
4.892241,0.694309,0.252718,-0.852251,1.000
4.989948,0.715153,0.146931,-1.269964,1.000
5.089534,0.723508,0.053900,-0.596521,1.000
5.189503,0.725919,0.046677,0.451737,1.000
5.289194,0.732834,0.141152,1.446370,1.000
5.386784,0.753952,0.269367,1.128230,1.000
5.481522,0.785932,0.299506,-0.521430,1.000
5.577740,0.812918,0.214238,-1.187930,1.000
5.676525,0.828360,0.163446,0.167843,1.000
5.775032,0.845455,0.201245,0.588606,1.000
5.872382,0.868316,0.233919,0.065413,1.000
5.969582,0.891813,0.224545,-0.252956,1.000
6.067332,0.912842,0.180692,-0.624702,1.000
6.166207,0.927733,0.173939,0.489573,1.000
6.264189,0.947432,0.218312,0.398381,1.000
6.361348,0.971025,0.220386,-0.356647,1.000
6.459302,0.991142,0.206344,0.075647,1.000
6.557100,1.012000,0.198884,-0.224857,1.000
6.655342,1.030654,0.195237,0.151894,1.000
6.753287,1.050797,0.204567,0.034726,1.000
6.851164,1.071281,0.212752,0.128997,1.000
6.948753,1.093022,0.234466,0.305394,1.000
7.045639,1.117733,0.230840,-0.377928,1.000
7.143396,1.138769,0.237659,0.514576,1.000
7.239920,1.164795,0.290138,0.535671,1.000
7.334934,1.195955,0.334339,0.348931,1.000
7.428804,1.230410,0.355176,0.067934,1.000
7.522439,1.265502,0.358798,0.004507,1.000
7.616026,1.300624,0.438375,1.599018,1.000
7.702718,1.350016,0.623402,2.133931,1.000
7.777181,1.416504,0.824662,1.934508,1.000
7.837600,1.495929,1.034066,2.304774,1.000
7.878496,1.586782,1.295333,3.018435,1.000
7.891182,1.685501,1.547237,2.104602,1.000
7.883170,1.785147,1.648299,-0.054654,1.000
7.875701,1.884855,1.642776,-0.055842,1.000
7.868789,1.984596,1.683057,0.863122,1.000
7.853323,2.083354,1.738594,0.249218,1.000
7.835399,2.181715,1.704228,-0.938571,1.000
7.826754,2.281292,1.622251,-0.703628,1.000
7.825122,2.381274,1.579748,-0.147494,1.000
7.824964,2.481274,1.575122,0.054954,1.000
7.824257,2.581270,1.600135,0.445634,1.000
7.819099,2.681105,1.672388,1.002110,1.000
7.804006,2.779919,1.738039,0.313422,1.000
7.785819,2.878238,1.707346,-0.929160,1.000
7.776817,2.977789,1.627562,-0.668934,1.000
7.774481,3.077760,1.607275,0.262374,1.000
7.769525,3.177615,1.670050,0.995600,1.000
7.754693,3.276471,1.738109,0.367974,1.000
7.736231,3.374746,1.712870,-0.874182,1.000
7.726406,3.474231,1.651854,-0.347667,1.000
7.720042,3.574024,1.676982,0.851644,1.000
7.705233,3.672882,1.746346,0.537287,1.000
7.685132,3.770840,1.764186,-0.179990,1.000
7.666797,3.869144,1.764290,0.182083,1.000
7.646676,3.967097,1.757755,-0.312902,1.000
7.629632,4.065612,1.725928,-0.323793,1.000
7.615782,4.164643,1.740270,0.611131,1.000
7.595921,4.262623,1.791102,0.406177,1.000
7.572092,4.359740,1.829549,0.363175,1.000
7.544759,4.455912,1.877450,0.595471,1.000
7.511755,4.550295,1.886474,-0.414882,1.000
7.482707,4.645907,1.823235,-0.851422,1.000
7.461866,4.743708,1.795978,0.304497,1.000
7.438061,4.840814,1.853546,0.849242,1.000
7.406155,4.935459,1.991134,1.922688,1.000
7.356957,5.022264,2.202432,2.350286,1.000
7.289084,5.095474,2.406862,1.786009,1.000
7.209452,5.155530,2.606032,2.243467,1.000
7.118695,5.196585,2.874859,3.243951,1.000
7.019753,5.207364,-3.127024,2.494294,1.000
6.920749,5.193702,-3.003905,0.010998,1.000
6.821739,5.179927,-3.050403,-0.942848,1.000
6.721854,5.175514,-3.113506,-0.321361,1.000
6.621862,5.174311,-3.102575,0.540632,1.000
6.522164,5.167719,-2.951294,2.536713,1.000
6.427804,5.136930,-2.658286,3.444879,1.000
6.348374,5.076510,-2.511095,-0.396758,1.000
6.266588,5.019262,-2.623383,-1.865060,1.000
6.175607,4.978000,-2.769912,-1.084785,1.000
6.080631,4.946776,-2.845472,-0.430311,1.000
5.984379,4.919658,-2.842081,0.498356,1.000
5.889639,4.887798,-2.770521,0.935220,1.000
5.798279,4.847247,-2.686624,0.746002,1.000
5.710186,4.800009,-2.588769,1.218100,1.000
5.628563,4.742533,-2.449017,1.590492,1.000
5.556927,4.672854,-2.370308,-0.005345,1.000
5.485226,4.603186,-2.425802,-1.108217,1.000
5.406320,4.541879,-2.555203,-1.490843,1.000
5.319222,4.492903,-2.671680,-0.847969,1.000
5.228230,4.451435,-2.715205,-0.024437,1.000
5.137136,4.410189,-2.684511,0.639145,1.000
5.048896,4.363235,-2.611333,0.826260,1.000
4.964798,4.309153,-2.542438,0.553729,1.000
4.883837,4.250517,-2.470997,0.877127,1.000
4.808304,4.185019,-2.444492,-0.345573,1.000
4.730574,4.122183,-2.488399,-0.533065,1.000
4.649572,4.063548,-2.497128,0.358017,1.000
4.570720,4.002052,-2.494125,-0.297943,1.000
4.490078,3.942936,-2.501900,0.142422,1.000
4.410292,3.882683,-2.477735,0.340979,1.000
4.332593,3.819735,-2.471214,-0.210420,1.000
4.253586,3.758435,-2.471516,0.204400,1.000
4.175859,3.695543,-2.428182,0.663024,1.000
4.102466,3.627645,-2.407614,-0.251180,1.000
4.027436,3.561648,-2.488482,-1.372124,1.000
3.944088,3.506465,-2.552953,0.076370,1.000
3.861143,3.450633,-2.529511,0.392627,1.000
3.780442,3.391582,-2.505166,0.094447,1.000
3.700301,3.331770,-2.505813,-0.107382,1.000
3.619523,3.272823,-2.509935,0.024939,1.000
3.538895,3.213676,-2.484372,0.486724,1.000
3.461260,3.150698,-2.424469,0.712541,1.000
3.388297,3.082356,-2.352980,0.719224,1.000
3.320426,3.008956,-2.283938,0.663403,1.000
3.257566,2.931223,-2.221427,0.588093,1.000
3.199364,2.849915,-2.205714,-0.273404,1.000
3.138985,2.770256,-2.304611,-1.719214,1.000
3.066105,2.702145,-2.517002,-2.584984,1.000
2.978584,2.654629,-2.777793,-2.719497,1.000
2.881499,2.631857,-2.995556,-1.697996,1.000
2.781744,2.625677,-3.098772,-0.381187,1.000
2.681774,2.623300,-3.086437,0.628363,1.000
2.582196,2.614660,-3.008383,0.935130,1.000
2.483828,2.596774,-2.974245,-0.250372,1.000
2.385065,2.581359,-3.034194,-0.950763,1.000
2.285276,2.575367,-3.087559,-0.118729,1.000
2.185403,2.570560,-3.049465,0.882522,1.000
2.086388,2.556992,-2.980585,0.496895,1.000
1.988116,2.538518,-2.994490,-0.775910,1.000
1.888766,2.527710,-3.067403,-0.684092,1.000
1.788852,2.523707,-3.080578,0.419859,1.000
1.689236,2.515521,-3.013326,0.927274,1.000
1.590784,2.498162,-2.974313,-0.144978,1.000
1.492103,2.482233,-3.031159,-0.994551,1.000
1.392340,2.476157,-3.115887,-0.703360,1.000
1.292368,2.477098,3.061676,-1.420636,1.000
1.193819,2.492056,2.774548,-4.560078,1.000
1.111501,2.546635,2.385150,-3.508327,1.000
1.051454,2.626407,2.151177,-1.302864,1.000
1.002187,2.713345,2.048890,-0.750381,1.000
0.959539,2.803785,2.001623,-0.196429,1.000
0.918675,2.895043,1.948518,-0.868038,1.000
0.885893,2.989397,1.853888,-1.028358,1.000
0.862918,3.086711,1.815486,0.256994,1.000
0.837453,3.183395,1.847034,0.374133,1.000
0.808385,3.279076,1.855063,-0.213396,1.000
0.781367,3.375352,1.840191,-0.084083,1.000
0.755159,3.471852,1.877516,0.832349,1.000
0.721054,3.565785,2.001223,1.655819,1.000
0.672105,3.652742,2.170495,1.754286,1.000
0.608824,3.729937,2.329416,1.446268,1.000
0.535058,3.797334,2.510746,2.222352,1.000
0.448753,3.846855,2.835568,4.510571,1.000
0.350074,3.855779,-3.109511,2.476896,1.000
0.251287,3.840518,-3.005495,-0.343932,1.000
0.152058,3.828662,-3.065690,-0.861705,1.000
0.052133,3.825372,-3.122974,-0.285903,1.000
-0.047866,3.824939,-3.133775,0.069774,1.000
-0.147855,3.823809,-3.102384,0.558722,1.000
-0.247576,3.817105,-3.025475,0.982212,1.000
-0.346174,3.800677,-2.967986,0.170099,1.000
-0.444506,3.782569,-2.974164,-0.293655,1.000
-0.543331,3.767355,-2.924027,1.303827,1.000
