s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,0.02552969,-0.11050587,0.13769149,-0.09268699,1.87040000,21.07292620
0.09511348,0.11979955,-0.09786592,0.12927107,-0.08433414,4.29380000,138.25457602
0.19036821,0.21430797,-0.08596545,0.12168412,-0.07494227,8.00000000,-65.66281817
0.28580892,0.30908371,-0.07471868,0.11500902,-0.06493126,2.72860000,-89.63339569
0.38147257,0.40414893,-0.06403525,0.10928952,-0.05465107,1.72230000,0.45399499
0.47738846,0.49951960,-0.05382277,0.10454423,-0.04431273,2.77910000,1.53634093
0.57357864,0.59520571,-0.04398828,0.10077997,-0.03397826,1.82850000,-7.54386327
0.67005827,0.69121154,-0.03443839,0.09799824,-0.02371504,1.98420000,24.36595000
0.76683617,0.78753588,-0.02507969,0.09618601,-0.01376658,4.20170000,56.68021253
0.86391544,0.88417260,-0.01582079,0.09530281,-0.00445776,4.59930000,-51.13783866
0.96129387,0.98111115,-0.00657537,0.09528238,0.00401230,2.03960000,-29.32942030
1.05896430,1.07833673,0.00273582,0.09604508,0.01158437,1.79450000,10.22095681
1.15691469,1.17583036,0.01218417,0.09751247,0.01836137,3.15380000,-0.81833740
1.25512840,1.27356886,0.02183396,0.09962089,0.02456256,1.74360000,0.01329845
1.35358417,1.37152460,0.03174416,0.10232452,0.03035196,3.15530000,7.03960562
1.45225605,1.46966520,0.04196975,0.10558606,0.03575597,2.18340000,-15.06157529
1.55111336,1.56795344,0.05256172,0.10936118,0.04062156,1.79270000,11.72532220
1.65012800,1.66635467,0.06356611,0.11359395,0.04488106,3.47760000,-0.91783072
1.74927461,1.76483708,0.07502321,0.11823123,0.04866879,1.74040000,-7.36151520
1.84853059,1.86337160,0.08696881,0.12323137,0.05209010,2.63840000,20.59823048
1.94787610,1.96193183,0.09943516,0.12855647,0.05512031,3.29090000,-14.29851512
2.04729397,2.06049405,0.11245071,0.13416000,0.05761304,1.77480000,-8.42098414
2.14676957,2.15903725,0.12603863,0.13997944,0.05939542,2.34720000,9.59891577
2.24629055,2.25754335,0.14021514,0.14594285,0.06045242,2.58860000,36.11452797
2.34584673,2.35599717,0.15498935,0.15198184,0.06087033,5.12460000,12.40623360
2.44542993,2.45438634,0.17036419,0.15803412,0.06068557,3.07070000,-47.58349005
2.54503394,2.55270133,0.18633672,0.16404179,0.05994814,2.03800000,-6.76896941
2.64465444,2.65093544,0.20289881,0.16995231,0.05871409,2.40900000,-1.32023257
2.74428883,2.74908468,0.22003762,0.17571019,0.05686692,1.92880000,-8.87155482
2.84393609,2.84714789,0.23773458,0.18124564,0.05423382,1.49240000,2.55487807
2.94359653,2.94512699,0.25596369,0.18648007,0.05081103,2.27000000,4.24652037
3.04327176,3.04302704,0.27469153,0.19134720,0.04684883,1.86530000,53.61073854
3.14296273,3.14085401,0.29387938,0.19580682,0.04262060,8.00000000,64.89537609
3.24266963,3.23861418,0.31348589,0.19983375,0.03815556,3.48280000,-67.55540411
3.34239185,3.33631406,0.33346727,0.20340297,0.03342891,4.13170000,-3.38476584
3.44212797,3.43396038,0.35377708,0.20648944,0.02846512,3.31940000,49.33571908
3.54187590,3.53156021,0.37436648,0.20907335,0.02334478,7.09660000,166.49368157
3.64163312,3.62912090,0.39518505,0.21114682,0.01822654,8.00000000,-20.76574263
3.74139682,3.72664993,0.41618234,0.21271861,0.01328449,6.57870000,-131.05569887
3.84116412,3.82415455,0.43730963,0.21381431,0.00868100,4.02510000,-72.44097409
3.94093219,3.92164159,0.45852152,0.21447532,0.00457004,2.98760000,-12.59217711
4.04069845,4.01911718,0.47977747,0.21475140,0.00096451,3.18410000,13.05056063
4.14046055,4.11658667,0.50104192,0.21468679,-0.00226001,3.80540000,86.16780778
4.24021653,4.21405496,0.52228309,0.21432122,-0.00506951,7.70190000,-53.16320219
4.33996484,4.31152648,0.54347333,0.21370512,-0.00728379,2.42830000,-60.07089141
4.43970446,4.40900489,0.56459092,0.21290232,-0.00881444,2.76700000,-5.88023563
4.53943495,4.50649290,0.58562088,0.21197499,-0.00978227,2.00440000,-8.06174122
4.63915637,4.60399251,0.60655382,0.21096935,-0.01038673,1.96480000,17.55701056
4.73886925,4.70150540,0.62738398,0.20992151,-0.01063028,3.78650000,35.32287786
4.83857461,4.79903294,0.64810921,0.20887418,-0.01037813,3.82510000,-36.61192857
4.93827382,4.89657588,0.66873225,0.20788430,-0.00947890,1.87790000,-21.52116797
5.03796849,4.99413381,0.68926216,0.20702330,-0.00779366,1.54000000,2.82455870
5.13766001,5.09170458,0.70971561,0.20637352,-0.00524201,2.24360000,11.67595787
5.23734908,5.18928362,0.73011758,0.20601973,-0.00185586,2.57760000,-10.33885657
5.33703474,5.28686311,0.75050079,0.20604263,0.00231563,1.44390000,-6.83985189
5.43671292,5.38443056,0.77090500,0.20652048,0.00727323,1.63320000,7.82517437
5.53637462,5.48196707,0.79137654,0.20754089,0.01320728,2.39900000,-0.49474752
5.63600427,5.57944519,0.81196981,0.20921831,0.02047301,1.59210000,14.63235772
5.73557811,5.67682654,0.83275015,0.21169649,0.02931744,4.22980000,14.15612122
5.83506252,5.77405944,0.85379564,0.21513673,0.03987157,2.25830000,28.91441463
5.93441250,5.87107687,0.87519744,0.21971274,0.05229443,6.77560000,40.48131321
6.03357045,5.96779460,0.89706016,0.22561753,0.06688011,3.44430000,-79.70727331
6.13246545,6.06410933,0.91950328,0.23307247,0.08400179,2.19230000,-10.75039910
6.23101288,6.15989679,0.94266265,0.24232710,0.10399239,2.47610000,6.95300950
6.32911446,6.25501019,0.96669102,0.25365195,0.12713629,2.74450000,5.95063752
6.42665862,6.34927869,0.99175719,0.26733386,0.15373620,2.90030000,52.95540860
6.52352151,6.44250640,1.01804434,0.28367387,0.18411272,6.29410000,24.55186036
6.61956906,6.53447191,1.04574771,0.30298449,0.21859917,3.65280000,-35.33947991
6.71466065,6.62492924,1.07507143,0.32558976,0.25760825,4.44490000,102.19108392
6.80865473,6.71361016,1.10622561,0.35182254,0.30149791,8.00000000,16.19221679
6.90141704,6.80022873,1.13942304,0.38201425,0.35051876,4.82290000,-127.40478103
6.99283036,6.88448734,1.17487555,0.41647772,0.40465826,3.13470000,-34.64662662
7.08280401,6.96608272,1.21278929,0.45548188,0.46352434,2.81810000,-11.35750866
7.17128301,7.04471233,1.25335921,0.49922660,0.52633453,2.41550000,-6.20626047
7.25825707,7.12008123,1.29676447,0.54781521,0.59171236,2.36730000,7.09701576
7.34376830,7.19190895,1.34316434,0.60121977,0.65756769,2.93260000,73.97233399
7.42791593,7.25993535,1.39269447,0.65924249,0.72098497,6.64680000,201.58081172
7.51085759,7.32392585,1.44546316,0.72147827,0.77831638,8.00000000,-255.81556532
7.59280660,7.38367650,1.50154792,0.78728929,0.82547004,1.37410000,-57.33042271
7.67402506,7.43901898,1.56099242,0.85580020,0.85840473,1.19230000,-0.90523024
7.75481279,7.48982589,1.62380415,0.92592552,0.87386779,1.25110000,-0.34092527
7.83549271,7.53601600,1.68995341,0.99643649,0.87013606,1.14830000,-1.72833792
7.91639378,7.57755819,1.75937408,1.06606191,0.84751006,1.00790000,0.32346700
7.99783258,7.61447305,1.83196589,1.13360299,0.80828378,1.20040000,46.94335857
8.08009576,7.64683142,1.90759767,1.19803886,0.75631549,7.40970000,274.34919936
8.16342574,7.67475001,1.98611162,1.25859485,0.69605993,7.33160000,-242.04724548
8.24801115,7.69838536,2.06732775,1.31475644,0.63166975,1.86610000,-42.24837490
8.33398280,7.71792818,2.15104874,1.36625009,0.56668315,3.47020000,-1.52694209
8.42141410,7.73359684,2.23706458,1.41301581,0.50392670,1.78980000,-14.25210901
8.51032422,7.74562928,2.32515675,1.45516941,0.44535157,2.06600000,31.36165082
8.60068418,7.75427501,2.41510214,1.49295126,0.39200803,4.51110000,131.94147078
8.69242444,7.75978832,2.50667658,1.52667973,0.34436076,7.39210000,-76.66618011
8.78544286,7.76242226,2.59965770,1.55672110,0.30252647,2.59490000,-78.45649356
8.87961221,7.76242268,2.69382705,1.58347369,0.26648927,1.73250000,4.56219513
8.97478691,7.76002213,2.78897147,1.60736474,0.23625488,3.09350000,1.07109052
9.07080958,7.75543290,2.88488442,1.62885205,0.21185989,1.79870000,-9.09571557
9.16751644,7.74883994,2.98136628,1.64842176,0.19331931,2.11890000,17.29697498
9.26474122,7.74039465,3.07822357,1.66657629,0.18050739,3.38180000,-6.61426136
9.36231760,7.73021113,3.17526710,1.68381550,0.17315688,1.73790000,-4.67707787
9.46007986,7.71836539,3.27230903,1.70062327,0.17098440,2.85610000,1.70013080
9.55786141,7.70489641,3.36915849,1.71747069,0.17390508,1.85430000,0.77621048
9.65549301,7.68980698,3.46561698,1.73483033,0.18204134,2.93790000,0.36772753
9.75280129,7.67306411,3.56147404,1.75318089,0.19552020,1.87870000,-5.55824619
9.84960774,7.65460099,3.65650352,1.77299730,0.21438066,2.36360000,27.00420527
9.94572854,7.63432138,3.75046067,1.79474460,0.23875141,4.08290000,36.18907582
10.04097529,7.61210466,3.84308011,1.81888583,0.26897284,4.05980000,-21.13822492
10.13515697,7.58781055,3.93407453,1.84588952,0.30547630,3.09660000,-16.79966211
10.22808374,7.56128434,4.02313487,1.87622908,0.34874494,3.04470000,-14.52378376
10.31957328,7.53236264,4.10993275,1.91037724,0.39923158,2.21690000,-3.99683038
10.40945903,7.50087959,4.19412459,1.94879572,0.45730591,2.71770000,10.04338197
10.49759845,7.46667395,4.27535594,1.99192611,0.52326753,2.87480000,-7.77944983
10.58388083,7.42959595,4.35326531,2.04018089,0.59723780,2.24570000,-2.43078151
10.66823526,7.38951357,4.42748844,2.09393069,0.67903993,2.69010000,-5.92034628
10.75063910,7.34631728,4.49766303,2.15348123,0.76784937,1.87870000,5.17501592
10.83112803,7.29992276,4.56343549,2.21902125,0.86151190,3.13880000,0.04732817
10.90980688,7.25027265,4.62447015,2.29053423,0.95592564,1.88110000,-22.75637521
10.98685601,7.19733991,4.68045847,2.36770506,1.04516241,1.25490000,-6.11083651
11.06253051,7.14113187,4.73112687,2.44986050,1.12213157,1.13740000,0.35038472
11.13715257,7.08169310,4.77624321,2.53596122,1.17968158,1.30120000,0.22859262
11.21109751,7.01910588,4.81562206,2.62464808,1.21184731,1.16350000,-2.58044185
11.28477454,6.95348882,4.84912886,2.71433821,1.21510836,0.97380000,-0.38620335
11.35860348,6.88499452,4.87668325,2.80337055,1.18945657,1.10500000,52.38263999
11.43299065,6.81380560,4.89826073,2.89017984,1.13850617,8.00000000,36.37598467
11.50830665,6.74012942,4.91389148,2.97344822,1.06837984,1.78570000,-58.12851910
11.58486964,6.66419180,4.92365725,3.05218422,0.98590495,3.05600000,11.28693370
11.66293515,6.58623043,4.92768813,3.12572489,0.89728885,2.35680000,-29.26929096
11.74269129,6.50648893,4.92615985,-3.08948628,0.80761758,1.09600000,-9.58201724
11.82425800,6.42521200,4.91929044,-3.02720652,0.72067239,0.94640000,9.48933309
11.90768963,6.34264129,4.90733578,-2.97054963,0.63917633,2.75040000,5.33543442
11.99298014,6.25901232,4.89058264,-2.91927461,0.56505858,1.27370000,-8.01691809
