s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,-0.02500000,-0.07692100,0.02130000,0.85749174,1.8704,0.0
0.09999593,0.07498000,-0.07513600,0.00971300,0.16271817,4.2938,0.0
0.19999606,0.17498000,-0.07497800,0.00355100,0.03940060,8.0000,0.0
0.29999558,0.27497800,-0.07442600,0.02566400,0.40295271,2.7286,0.0
0.39997749,0.37485500,-0.06984700,0.09638600,1.01131961,1.7223,0.0
0.49994105,0.47374100,-0.05520900,0.16638500,0.38844293,2.7791,0.0
0.59993405,0.57201300,-0.03673700,0.14093600,0.89731378,1.8285,0.0
0.69988688,0.67150500,-0.02715000,0.05795700,0.76202478,1.9842,0.0
0.79987961,0.77147800,-0.02516400,0.01136900,0.16993138,4.2017,0.0
0.89988002,0.87147800,-0.02487700,0.00996100,0.14181764,4.5993,0.0
0.99987555,0.97145900,-0.02317200,0.05310300,0.72118677,2.0396,0.0
1.09983066,1.07101700,-0.01427100,0.13575600,0.93158633,1.7945,0.0
1.19981710,1.16934600,0.00385900,0.16725600,0.30161724,3.1538,0.0
1.29977632,1.26815000,0.01901200,0.10283100,0.98681818,1.7436,0.0
1.39974531,1.36797600,0.02435700,0.03842300,0.30133351,3.1553,0.0
1.49974360,1.46794700,0.02669300,0.05481900,0.62931289,2.1834,0.0
1.59969547,1.56752700,0.03530700,0.13297300,0.93350029,1.7927,0.0
1.69967535,1.66589800,0.05317100,0.16724500,0.24806165,3.4776,0.0
1.79963426,1.76466100,0.06858700,0.10532000,0.99039832,1.7404,0.0
1.89959484,1.86446600,0.07416200,0.03425200,0.43095923,2.6384,0.0
1.99959292,1.96445600,0.07543300,0.02655800,0.27700848,3.2909,0.0
2.09957254,2.06435400,0.07947200,0.08801700,0.95243373,1.7748,0.0
2.19951060,2.16337400,0.09298700,0.16287700,0.54453832,2.3472,0.0
2.29950582,2.26156800,0.11188100,0.16770900,0.44770911,2.5886,0.0
2.39949173,2.36050000,0.12636000,0.15103500,0.11423342,5.1246,0.0
2.49947138,2.45925400,0.14196700,0.17265200,0.31815996,3.0707,0.0
2.59946569,2.55747600,0.16071000,0.15245200,0.72230950,2.0380,0.0
2.69940419,2.65673900,0.17231000,0.09048200,0.51696751,2.4090,0.0
2.79939907,2.75652500,0.17877000,0.10493900,0.80640077,1.9288,0.0
2.89929219,2.85536600,0.19323000,0.21261100,1.34701198,1.4924,0.0
2.99920661,2.95139100,0.22083600,0.30905000,0.58219573,2.2700,0.0
3.09919988,3.04572200,0.25400700,0.29502900,0.86220382,1.8653,0.0
3.19917110,3.14253800,0.27892500,0.25187500,0.00064255,8.0000,0.0
3.29915925,3.23937200,0.30384100,0.23947600,0.24732950,3.4828,0.0
3.39913869,3.33678400,0.32635300,0.21832900,0.17573773,4.1317,0.0
3.49913293,3.43459100,0.34715300,0.22315600,0.27226714,3.3194,0.0
3.59913180,3.53180000,0.37060900,0.23974400,0.05956881,7.0966,0.0
3.69913216,3.62886900,0.39464400,0.24451700,0.03577388,8.0000,0.0
3.79913211,3.72585100,0.41902600,0.24283500,0.06931754,6.5787,0.0
3.89913136,3.82299900,0.44273500,0.23011300,0.18516890,4.0251,0.0
3.99912516,3.92056400,0.46464000,0.20404900,0.33610005,2.9876,0.0
4.09912404,4.01881500,0.48325500,0.20203800,0.29589606,3.1841,0.0
4.19911548,4.11646500,0.50476700,0.22719200,0.20716711,3.8054,0.0
4.29911471,4.21365600,0.52829900,0.23501900,0.05057315,7.7019,0.0
4.39911315,4.31096400,0.55133900,0.20706000,0.50878019,2.4283,0.0
4.49907932,4.40928600,0.56939500,0.16202500,0.39183122,2.7670,0.0
4.59907300,4.50826700,0.58359000,0.17976100,0.74673389,2.0044,0.0
4.69900691,4.60585500,0.60511600,0.25597000,0.77715152,1.9648,0.0
4.79899142,4.70152600,0.63416700,0.30527000,0.20923943,3.7865,0.0
4.89899141,4.79658300,0.66521800,0.30547700,0.20503432,3.8251,0.0
4.99897510,4.89224100,0.69430900,0.25271800,0.85067858,1.8779,0.0
5.09888071,4.98994800,0.71515300,0.14693100,1.26495680,1.5400,0.0
5.19881657,5.08953400,0.72350800,0.05390000,0.59599387,2.2436,0.0
5.29881464,5.18950300,0.72591900,0.04667700,0.45152892,2.5776,0.0
5.39874518,5.28919400,0.73283400,0.14115200,1.43890612,1.4439,0.0
5.49859396,5.38678400,0.75395200,0.26936700,1.12474157,1.6332,0.0
5.59858400,5.48152200,0.78593200,0.29950600,0.52124804,2.3990,0.0
5.69851472,5.57774000,0.81291800,0.21423800,1.18358558,1.5921,0.0
5.79849937,5.67652500,0.82836000,0.16344600,0.16768091,4.2298,0.0
5.89847871,5.77503200,0.84545500,0.20124500,0.58822243,2.2583,0.0
5.99847695,5.87238200,0.86831600,0.23391900,0.06534607,6.7756,0.0
6.09847670,5.96958200,0.89181300,0.22454500,0.25288569,3.4443,0.0
6.19846310,6.06733200,0.91284200,0.18069200,0.62417151,2.1923,0.0
6.29845314,6.16620700,0.92773300,0.17393900,0.48932921,2.4761,0.0
6.39839574,6.26418900,0.94743200,0.21831200,0.39828033,2.7445,0.0
6.49837824,6.36134800,0.97102500,0.22038600,0.35663996,2.9003,0.0
6.59837664,6.45930200,0.99114200,0.20634400,0.07572734,6.2941,0.0
6.69837417,6.55710000,1.01200000,0.19888400,0.22483937,3.6528,0.0
6.79837148,6.65534200,1.03065400,0.19523700,0.15184488,4.4449,0.0
6.89836629,6.75328700,1.05079700,0.20456700,0.03477303,8.0000,0.0
6.99836380,6.85116400,1.07128100,0.21275200,0.12897423,4.8229,0.0
7.09834522,6.94875300,1.09302200,0.23446600,0.30530042,3.1347,0.0
7.19833287,7.04563900,1.11773300,0.23084000,0.37774655,2.8181,0.0
7.29832759,7.14339600,1.13876900,0.23765900,0.51417764,2.4155,0.0
7.39829876,7.23992000,1.16479500,0.29013800,0.53533253,2.3673,0.0
7.49829179,7.33493400,1.19595500,0.33433900,0.34884108,2.9326,0.0
7.59828541,7.42880400,1.23041000,0.35517600,0.06790429,6.6468,0.0
7.69828022,7.52243900,1.26550200,0.35879800,0.00449649,8.0000,0.0
7.79824062,7.61602600,1.30062400,0.43837500,1.58893894,1.3741,0.0
7.89801573,7.70271800,1.35001600,0.62340200,2.11034156,1.1923,0.0
7.99784254,7.77718100,1.41650400,0.82466200,1.91671353,1.2511,0.0
8.09763626,7.83760000,1.49592900,1.03406600,2.27514815,1.1483,0.0
8.19726934,7.87849600,1.58678200,1.29533300,2.95323832,1.0079,0.0
8.29680012,7.89118200,1.68550100,1.54723700,2.08184956,1.2004,0.0
8.39676770,7.88317000,1.78514700,1.64829900,0.05464165,7.4097,0.0
8.49675505,7.87570100,1.88485500,1.64277600,0.05581120,7.3316,0.0
8.59673527,7.86878900,1.98459600,1.68305700,0.86152810,1.8661,0.0
8.69669696,7.85332300,2.08335400,1.73859400,0.24912139,3.4702,0.0
8.79667774,7.83539900,2.18171500,1.70422800,0.93646277,1.7898,0.0
8.89662930,7.82675400,2.28129200,1.62225100,0.70282813,2.0660,0.0
8.99662462,7.82512200,2.38127400,1.57974800,0.14741692,4.5111,0.0
9.09662474,7.82496400,2.48127400,1.57512200,0.05490197,7.3921,0.0
9.19662324,7.82425700,2.58127000,1.60013500,0.44552930,2.5949,0.0
9.29659140,7.81909900,2.68110500,1.67238800,0.99944993,1.7325,0.0
9.39655142,7.80400600,2.77991900,1.73803900,0.31348927,3.0935,0.0
9.49653838,7.78581900,2.87823800,1.70734600,0.92723877,1.7987,0.0
9.59649556,7.77681700,2.97778900,1.62756200,0.66820672,2.1189,0.0
9.69649385,7.77448100,3.07776000,1.60727500,0.26231118,3.3818,0.0
9.79647176,7.76952500,3.17761500,1.67005000,0.99323058,1.7379,0.0
9.89643424,7.75469300,3.27647100,1.73810900,0.36776625,2.8561,0.0
9.99642834,7.73623100,3.37474600,1.71287000,0.87245303,1.8543,0.0
10.09639732,7.72640600,3.47423100,1.65185400,0.34758020,2.9379,0.0
10.19639303,7.72004200,3.57402400,1.67698200,0.85002065,1.8787,0.0
10.29635408,7.70523300,3.67288200,1.74634600,0.53699903,2.3636,0.0
10.39635318,7.68513200,3.77084000,1.76418600,0.17996053,4.0829,0.0
10.49635242,7.66679700,3.86914400,1.76429000,0.18202098,4.0598,0.0
10.59635065,7.64667600,3.96709700,1.75775500,0.31285680,3.0966,0.0
