s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,-7.00000000,-2.95000000,-0.00450108,0.13501982,0.0,0.0
0.10071942,-6.89928058,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.20143885,-6.79856115,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.30215827,-6.69784173,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.40287770,-6.59712230,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.50359712,-6.49640288,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.60431655,-6.39568345,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.70503597,-6.29496403,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.80575540,-6.19424460,-2.95000000,0.00000000,0.00000000,0.0,0.0
0.90647482,-6.09352518,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.00719424,-5.99280576,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.10791367,-5.89208633,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.20863309,-5.79136691,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.30935252,-5.69064748,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.41007194,-5.58992806,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.51079137,-5.48920863,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.61151079,-5.38848921,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.71223022,-5.28776978,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.81294964,-5.18705036,-2.95000000,0.00000000,0.00000000,0.0,0.0
1.91366906,-5.08633094,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.01438849,-4.98561151,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.11510791,-4.88489209,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.21582734,-4.78417266,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.31654676,-4.68345324,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.41726619,-4.58273381,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.51798561,-4.48201439,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.61870504,-4.38129496,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.71942446,-4.28057554,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.82014388,-4.17985612,-2.95000000,0.00000000,0.00000000,0.0,0.0
2.92086331,-4.07913669,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.02158273,-3.97841727,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.12230216,-3.87769784,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.22302158,-3.77697842,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.32374101,-3.67625899,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.42446043,-3.57553957,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.52517986,-3.47482014,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.62589928,-3.37410072,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.72661871,-3.27338129,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.82733813,-3.17266187,-2.95000000,0.00000000,0.00000000,0.0,0.0
3.92805755,-3.07194245,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.02877698,-2.97122302,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.12949640,-2.87050360,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.23021583,-2.76978417,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.33093525,-2.66906475,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.43165468,-2.56834532,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.53237410,-2.46762590,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.63309353,-2.36690647,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.73381295,-2.26618705,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.83453237,-2.16546763,-2.95000000,0.00000000,0.00000000,0.0,0.0
4.93525180,-2.06474820,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.03597122,-1.96402878,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.13669065,-1.86330935,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.23741007,-1.76258993,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.33812950,-1.66187050,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.43884892,-1.56115108,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.53956835,-1.46043165,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.64028777,-1.35971223,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.74100719,-1.25899281,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.84172662,-1.15827338,-2.95000000,0.00000000,0.00000000,0.0,0.0
5.94244604,-1.05755396,-2.95000000,0.00000000,0.00000000,0.0,0.0
6.04316547,-0.95683453,-2.95000000,0.00000000,0.00000000,0.0,0.0
6.14388489,-0.85611511,-2.95000000,0.00000000,0.00000000,0.0,0.0
6.24460432,-0.75539568,-2.95000000,0.00000000,0.00000000,0.0,0.0
6.34532374,-0.65467626,-2.95000000,0.00000000,0.00000000,0.0,0.0
6.44604317,-0.55395683,-2.95000000,0.00000000,0.00000000,0.0,0.0
