s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,0.86498080,0.43017718,-0.89115158,1.08931204,4.37627580,5.22556373
0.04697719,0.89543462,0.39440818,-0.83995505,1.08768221,4.43203370,5.22436840
0.09392237,0.92765319,0.36026417,-0.78853810,1.10166930,4.48698910,5.21523848
0.14087504,0.96159948,0.32782650,-0.73694702,1.09319923,4.54117140,5.19807587
0.18794116,0.99725334,0.29710156,-0.68654721,1.04816420,4.59460820,5.17471044
0.23512873,1.03447675,0.26810010,-0.63730916,1.03633724,4.64732530,5.11784790
0.28253910,1.07325885,0.24082938,-0.59905891,0.56795364,4.69878380,4.89428332
0.33112142,1.11374655,0.21397816,-0.55841784,1.14286885,4.74731190,4.50657336
0.37867521,1.15476060,0.18991136,-0.51176149,0.79398672,4.79004480,4.06171550
0.42625800,1.19667974,0.16739677,-0.47999241,0.54241047,4.82798290,3.58360356
0.47378312,1.23911415,0.14599680,-0.45313704,0.58810139,4.86063930,3.10330178
0.52122343,1.28205276,0.12582609,-0.42833343,0.45690121,4.88861410,2.67336242
0.56862163,1.32537981,0.10660743,-0.40581924,0.49339423,4.91250220,2.27750472
0.61595073,1.36908030,0.08843299,-0.38409407,0.42407266,4.93253100,1.92251037
0.66326209,1.41312018,0.07114560,-0.36448025,0.40468563,4.94938940,0.15968763
0.71059770,1.45750578,0.05469633,-0.34612841,0.37043042,4.93558470,-1.84418734
0.75799374,1.50223018,0.03900833,-0.32939987,0.33520882,4.91399280,-2.17486041
0.80549288,1.54729624,0.02400106,-0.31376149,0.32319365,4.89358550,-2.07568213
0.85310793,1.59269815,0.00965328,-0.29859124,0.31396247,4.87364880,-1.98504814
0.90084860,1.63843009,-0.00404934,-0.28364839,0.31202335,4.85474690,-1.88244548
0.94871710,1.68448431,-0.01710317,-0.26865081,0.31460674,4.83657600,-1.79023155
0.99670930,1.73084963,-0.02949300,-0.25378842,0.30473715,4.81926460,-1.67654386
1.04483197,1.77751795,-0.04123435,-0.23906942,0.30702386,4.80313920,-1.56421644
1.09307813,1.82447505,-0.05231239,-0.22514148,0.27030034,4.78788060,-1.43946233
1.14147185,1.87171688,-0.06280819,-0.21206820,0.27002222,4.77408470,-1.32273460
1.19000645,1.91922992,-0.07271364,-0.19961403,0.24317623,4.76102510,-1.22684499
1.23869868,1.96701143,-0.08208706,-0.18742686,0.25743598,4.74903080,-1.10717141
1.28753309,2.01504669,-0.09088556,-0.17397134,0.29373258,4.73828810,-0.98401919
1.33647453,2.06330888,-0.09901115,-0.15863471,0.33313693,4.72872530,-0.84050887
1.38548953,2.11176995,-0.10635924,-0.14085576,0.39250336,4.72087680,-0.67511261
1.43454190,2.16040052,-0.11277823,-0.12123311,0.40761174,4.71470110,-0.52326741
1.48362323,2.20917851,-0.11822658,-0.10084252,0.42328728,4.70998530,-0.45265141
1.53272967,2.25808419,-0.12266243,-0.08071093,0.39649682,4.70526480,-0.42494433
1.58187760,2.30710838,-0.12614780,-0.06180932,0.37260550,4.70111170,-0.31767538
1.63107739,2.35623999,-0.12873711,-0.04405069,0.34928925,4.69861900,-0.13220483
1.68033175,2.40546338,-0.13048321,-0.02739122,0.32719721,4.69834150,0.11510515
1.72964018,2.45476260,-0.13143644,-0.01152147,0.31652237,4.70103370,0.38181405
1.77899934,2.50412142,-0.13161995,0.00373717,0.30179266,4.70635520,0.65463698
1.82840336,2.55352235,-0.13106736,0.01838587,0.29125184,4.71477130,0.94673765
1.87784823,2.60295105,-0.12980267,0.03208619,0.26296542,4.72620430,1.26007599
1.92732772,2.65239370,-0.12789386,0.04464387,0.24466231,4.74114600,1.60669748
1.97683644,2.70183882,-0.12538500,0.05572101,0.20285002,4.75974980,1.96570035
2.02637249,2.75128350,-0.12237791,0.06528173,0.18318878,4.78204990,2.34275347
2.07593082,2.80072110,-0.11892061,0.07430333,0.18090335,4.80829670,2.73136121
2.12550800,2.85014449,-0.11501867,0.08344555,0.18792984,4.83836400,3.10759563
2.17509625,2.89954040,-0.11065539,0.09389434,0.23351242,4.87198890,3.47429526
2.22468872,2.94888668,-0.10571999,0.10578025,0.24584414,4.90909140,3.85433997
2.27428197,2.99816989,-0.10018325,0.11823429,0.25638061,4.94986390,4.25424112
2.32387970,3.04738316,-0.09401976,0.13050558,0.23842660,4.99434270,4.64458921
2.37348689,3.09652947,-0.08727340,0.14134077,0.19841037,5.04212150,4.82812699
2.42310558,3.14561837,-0.08004191,0.15081348,0.18340535,5.08935730,4.81723308
2.47273755,3.19465253,-0.07236189,0.15941866,0.16335985,5.13606530,4.80630960
2.52238234,3.24363547,-0.06428243,0.16770878,0.17060293,5.18226010,4.79527303
2.57204334,3.29256417,-0.05578555,0.17674548,0.19330937,5.22795540,4.78391750
2.62172428,3.34142865,-0.04681566,0.18578758,0.17069892,5.27316440,4.77231526
2.67142708,3.39023675,-0.03742749,0.19339375,0.13539051,5.31789960,4.76079966
2.72114861,3.43899892,-0.02770736,0.19886269,0.08462679,5.36217310,4.74991689
2.77087952,3.48772895,-0.01778025,0.20108961,0.00494824,5.40599650,4.74011048
2.82060705,3.53645322,-0.00784182,0.20038011,-0.03349043,5.44938070,4.73122540
2.87032489,3.58518448,0.00201354,0.19860182,-0.03804209,5.49233630,4.72242851
2.92003793,3.63392958,0.01177577,0.19655737,-0.04420847,5.53487350,4.71340657
2.96974639,3.68269153,0.02142996,0.19531103,-0.00593285,5.57700200,4.70396966
3.01945918,3.73146058,0.03107061,0.19535529,0.00771195,5.61873120,4.69399001
3.06917923,3.78023304,0.04073137,0.19532609,-0.00888402,5.66007000,4.68380251
3.11890853,3.82901884,0.05037238,0.19470339,-0.01615828,5.70102720,4.67357027
3.16864666,3.87782103,0.05997589,0.19291541,-0.05573383,5.74161110,4.66352055
3.21839057,3.92665534,0.06944516,0.18917297,-0.09473985,5.78182970,4.65387526
3.26813506,3.97553430,0.07868430,0.18505257,-0.07091872,5.82169070,4.64435581
3.31788296,4.02444890,0.08775156,0.18163870,-0.06632963,5.86120150,4.63477765
3.36763319,4.07339545,0.09665777,0.17884457,-0.04599395,5.90036940,4.62509159
3.41738967,4.12236840,0.10545306,0.17763962,-0.00244519,5.93920130,4.61509098
3.46715577,4.17135190,0.11424409,0.17766877,0.00361552,5.97770400,4.60503749
3.51692964,4.22034145,0.12304531,0.17745294,-0.01228695,6.01588380,4.59532782
3.56670598,4.26933882,0.13181700,0.17622891,-0.03689206,6.05374700,4.58584694
3.61648581,4.31835564,0.14049931,0.17337936,-0.07760008,6.09129980,4.57659444
3.66626357,4.36740360,0.14899185,0.16826826,-0.12776512,6.12854790,4.56772613
3.71603668,4.41649998,0.15717154,0.16223340,-0.11472962,6.16549700,4.55903311
3.76580432,4.46563687,0.16506987,0.15685081,-0.10157049,6.20215260,4.55024021
3.81556998,4.51481111,0.17271943,0.15223749,-0.08383187,6.23852010,4.54134793
3.86533275,4.56401397,0.18016334,0.14895497,-0.04808995,6.27460460,4.53237593
3.91509547,4.61323446,0.18748948,0.14599106,-0.07103208,6.31041100,4.52330968
3.96485785,4.66248019,0.19464153,0.14225467,-0.07913436,6.34594430,4.51419645
4.01462181,4.71175527,0.20159983,0.13824829,-0.08188202,6.38120920,4.50504152
4.06438651,4.76105904,0.20835738,0.13332026,-0.11616726,6.41621010,4.49587845
4.11415339,4.81040320,0.21483008,0.12730432,-0.12558936,6.45095160,4.48654909
4.16392534,4.85979189,0.22099485,0.12134433,-0.11389873,6.48543800,4.47700593
4.21370437,4.90922176,0.22688035,0.11601255,-0.10032700,6.51967330,4.46753436
4.26348739,4.95868438,0.23251937,0.11068767,-0.11359810,6.55366180,4.45828640
4.31327321,5.00818088,0.23787886,0.10640858,-0.05831074,6.58740740,4.44932982
4.36305676,5.05769048,0.24309441,0.10180528,-0.12667320,6.62091390,4.44146454
4.41281892,5.10721068,0.24799559,0.09535666,-0.13250387,6.65418500,4.43442896
4.46256067,5.15674180,0.25256834,0.08866017,-0.13673978,6.68722450,4.42723342
4.51228489,5.20628541,0.25680266,0.08089022,-0.17576793,6.72003580,4.41957599
4.56199922,5.25585426,0.26060310,0.07301334,-0.14107357,6.75262240,4.41102652
4.61171654,5.30545153,0.26405601,0.06629178,-0.12931943,6.78498770,4.40194975
4.66143618,5.35507230,0.26719010,0.06025916,-0.11333920,6.81713490,4.39279105
4.71116128,5.40471538,0.27004481,0.05550602,-0.07784893,6.84906740,4.38372377
4.76088704,5.45436980,0.27270737,0.05174494,-0.07342244,6.88078810,4.37483329
4.81061440,5.50403522,0.27518870,0.04797221,-0.07831179,6.91230010,4.36586984
4.86034464,5.55371280,0.27747674,0.04453569,-0.05989436,6.94360640,4.35681951
4.91007895,5.60340103,0.27961696,0.04227051,-0.03120059,6.97470990,4.34782510
4.95981525,5.65309453,0.28168016,0.04157508,0.00323478,7.00561340,4.33902219
5.00955153,5.70278766,0.28375135,0.04355990,0.07656366,7.03631960,4.32988971
5.05929786,5.75248258,0.28601223,0.04689812,0.05764840,7.06683130,4.32030511
5.10905530,5.80218192,0.28841617,0.04974723,0.05687009,7.09715120,4.31062832
5.15882509,5.85188659,0.29096139,0.05102056,-0.00568667,7.12728160,4.30137888
5.20859664,5.90159374,0.29349262,0.04977569,-0.04434305,7.15722530,4.29298366
5.25836142,5.95129958,0.29591383,0.04770567,-0.03884745,7.18698460,4.28491794
5.30812042,6.00100424,0.29823867,0.04553451,-0.04842141,7.21656190,4.27685254
5.35787309,6.05070803,0.30044347,0.04455619,0.00910004,7.24595960,4.26853658
5.40762611,6.10041117,0.30267080,0.04518243,0.01607340,7.27517990,4.25989874
5.45738079,6.15011417,0.30493794,0.04729327,0.06878725,7.30422520,4.25160224
5.50712817,6.19980183,0.30737481,0.05060110,0.06419950,7.33309750,4.24378826
5.55686637,6.24947229,0.30996987,0.05366434,0.05897193,7.36179920,4.23600076
5.60659708,6.29912744,0.31271018,0.05583986,0.02851447,7.39033220,0.07519924
5.65632238,6.34877325,0.31552059,0.05617767,-0.01493051,7.36281120,-7.88802548
5.70604782,6.39842128,0.31829415,0.05572204,-0.00339514,7.28378730,-11.43999679
5.75577488,6.44807140,0.32105942,0.05510895,-0.02126327,7.20661000,-11.24511204
5.80550170,6.49772417,0.32377218,0.05555282,0.03910707,7.12860060,-11.40132357
5.85523914,6.54738217,0.32658210,0.05768316,0.04655482,7.04752910,-11.79633516
5.90498727,6.59704420,0.32950763,0.05995020,0.04458739,6.96207910,-12.30687081
5.95474513,6.64670934,0.33254392,0.06226924,0.04862539,6.87163230,-12.43986405
6.00451180,6.69637577,0.33570094,0.06339687,-0.00329993,6.78190770,-12.02975554
6.05427811,6.74604236,0.33884978,0.06325615,-0.00235539,6.69508060,-11.49443976
6.10404207,6.79570698,0.34199264,0.06203557,-0.04669473,6.61102930,-10.98819353
6.15381085,6.84538358,0.34502038,0.06022156,-0.02620411,6.52964720,-10.50966087
6.20358574,6.89507018,0.34798370,0.05945938,-0.00442366,6.45081080,-10.05450395
6.25336502,6.94476182,0.35093633,0.06033314,0.03953076,6.37447790,-9.62415985
6.30314153,6.99444478,0.35398656,0.06392971,0.10500004,6.30050190,-9.21802396
6.35290640,7.04409952,0.35729562,0.06952653,0.11993293,6.22884270,-8.83423071
6.40266002,7.09372240,0.36090013,0.07620297,0.14844722,6.15935700,-8.47090674
6.45240427,7.14330796,0.36487027,0.08307934,0.12800333,6.09200420,-8.12516109
6.50214464,7.19286338,0.36915570,0.08929290,0.12183296,6.02667020,-7.79131889
6.55188219,7.24238911,0.37374110,0.09511596,0.11232261,5.96339850,-7.46518919
6.60161472,7.29188346,0.37860260,0.10063688,0.10970764,5.90215010,-7.13669792
6.65133940,7.34134274,0.38373324,0.10621950,0.11483984,5.84313790,-6.78591481
6.70105368,7.39076157,0.38914506,0.11196317,0.11623342,5.78666690,-6.42975557
6.75075497,7.44013542,0.39484083,0.11798733,0.12618978,5.73267400,-6.08481100
6.80044070,7.48945713,0.40084423,0.12392257,0.11272849,5.68117490,-5.75167392
6.85010580,7.53872399,0.40712111,0.12994507,0.12980679,5.63209030,-5.42855013
6.89974873,7.58792738,0.41371246,0.13603665,0.11560345,5.58545580,-5.10920343
6.94936892,7.63706964,0.42058287,0.14229275,0.13657169,5.54129100,-4.79886341
6.99896410,7.68613947,0.42778242,0.14990906,0.17059225,5.49953340,-4.50698552
7.04853180,7.73511949,0.43539253,0.15856843,0.17881308,5.46002490,-4.24423424
7.09807030,7.78400136,0.44343160,0.16845053,0.22017105,5.42249530,-4.04106956
7.14758074,7.83276501,0.45199834,0.17937706,0.22121409,5.38620950,-3.88346232
7.19706226,7.88140353,0.46109316,0.19039284,0.22402761,5.35112200,-3.74231730
7.24651619,7.92991121,0.47072105,0.20189200,0.24100952,5.31701880,-3.60602642
7.29594556,7.97827668,0.48092120,0.21402845,0.25005177,5.28405890,-3.47087325
7.34535089,8.02648897,0.49171296,0.22710720,0.27937515,5.25209850,-3.35831820
7.39473758,8.07452962,0.50316468,0.24154816,0.30540674,5.22088890,-3.24752207
7.44411127,8.12237949,0.51533638,0.25671014,0.30875464,5.19066710,-3.16929572
7.49347291,8.17002666,0.52823284,0.27162361,0.29555238,5.16060350,-3.12011227
7.54281203,8.21745902,0.54181668,0.28557831,0.27016102,5.13099240,-3.07801039
7.59211682,8.26467329,0.55602144,0.29774505,0.22345021,5.10142840,-3.06270444
7.64136188,8.31167129,0.57072734,0.30842651,0.21038545,5.07182680,-3.05046031
7.69053665,8.35844766,0.58589734,0.31909632,0.22359296,5.04223360,-3.04483618
7.73963956,8.40498643,0.60155743,0.33058902,0.24452670,5.01248020,-3.06944337
