s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,0.84026110,0.43228261,-0.92639985,-2.62497662,4.37627580,4.93477959
0.06585793,0.87755383,0.37800076,-0.91821053,2.04063575,4.43203370,4.92401358
0.11545294,0.91024977,0.34070947,-0.76692905,3.41537269,4.48698910,4.91358302
0.16460477,0.94840283,0.30972163,-0.67673114,0.21960103,4.54117140,4.90368133
0.21381752,0.98693604,0.27910976,-0.62383311,1.97286391,4.59460820,4.89373789
0.26195389,1.02732467,0.25292066,-0.56938706,0.24397630,4.64732530,4.85802706
0.31017084,1.06808645,0.22716505,-0.53374827,1.25611055,4.69878380,4.71435618
0.35755885,1.10959447,0.20430224,-0.49699437,0.27243467,4.74731190,4.34775788
0.40502941,1.15146725,0.18193878,-0.47449835,0.68017681,4.79004480,3.87781018
0.45219428,1.19376386,0.16106965,-0.45179328,0.27759512,4.82798290,3.42021913
0.49945830,1.23641985,0.14071394,-0.43722206,0.33912034,4.86063930,2.95736719
0.54678497,1.27945379,0.12101892,-0.42277071,0.27131636,4.88861410,2.54405159
0.59423605,1.32285117,0.10182850,-0.40927831,0.29749336,4.91250220,2.16525588
0.64178032,1.36660113,0.08321671,-0.39554008,0.28010031,4.93253100,1.82600264
0.68947699,1.41073647,0.06513235,-0.37814812,0.45057774,4.94938940,0.15170291
0.73711860,1.45519865,0.04801984,-0.35992589,0.31289021,4.93558470,-1.75358661
0.78490805,1.50005009,0.03152200,-0.33320945,0.81269249,4.91399280,-2.07154356
0.83231067,1.54513809,0.01689047,-0.30443870,0.39377212,4.89358550,-1.98190590
0.87980179,1.59057623,0.00307811,-0.27807039,0.72156963,4.87364880,-1.90011258
0.92701672,1.63619289,-0.00910261,-0.25142316,0.40222838,4.85474690,-1.80696021
0.97431409,1.68211287,-0.02043385,-0.24219664,-0.01127252,4.83657600,-1.72304822
1.02207844,1.72848009,-0.03190180,-0.23660232,0.24434234,4.81926460,-1.61818674
1.07005101,1.77518097,-0.04287429,-0.23521376,-0.18344132,4.80313920,-1.51404570
1.11853388,1.82227866,-0.05438061,-0.23502865,0.18835225,4.78788060,-1.39755697
1.16722116,1.86967869,-0.06550215,-0.22661556,0.15735954,4.77408470,-1.28825233
1.21611727,1.91736638,-0.07630557,-0.21598096,0.27766247,4.76102510,-1.19867656
1.26512526,1.96530595,-0.08648307,-0.20145491,0.31518955,4.74903080,-1.08532497
1.31422340,2.01348560,-0.09593553,-0.18560473,0.33052632,4.73828810,-0.96722639
1.36339715,2.06188682,-0.10461766,-0.16904915,0.34286649,4.72872530,-0.82783157
1.41263659,2.11049247,-0.11249248,-0.15218279,0.34225196,4.72087680,-0.66579567
1.46193447,2.15928183,-0.11955499,-0.13422384,0.38634742,4.71470110,-0.51642581
1.51128155,2.20824573,-0.12569267,-0.11574521,0.36264989,4.70998530,-0.44700158
1.56066972,2.25735251,-0.13095717,-0.09250476,0.57897895,4.70526480,-0.41994155
1.61003935,2.30657124,-0.13481428,-0.06665128,0.46790247,4.70111170,-0.31421266
1.65943163,2.35588856,-0.13753446,-0.03634409,0.76097457,4.69861900,-0.13090149
1.70872563,2.40517496,-0.13839952,-0.00297228,0.59130935,4.69834150,0.11407086
1.75802997,2.45447599,-0.13782749,0.02097550,0.37994565,4.70103370,0.37872095
1.80736924,2.50379255,-0.13633067,0.03906103,0.35295846,4.70635520,0.64984338
1.85677337,2.55314032,-0.13397160,0.04588375,-0.07610828,4.71477130,0.94032024
1.90630133,2.60262034,-0.13179289,0.04413860,0.00543611,4.72620430,1.25216349
1.95592613,2.65219651,-0.12959656,0.04510303,0.03342852,4.74114600,1.59711867
2.00557296,2.70179098,-0.12731696,0.04747200,0.06201382,4.75974980,1.95458358
2.05522394,2.75138234,-0.12488447,0.05416877,0.20774207,4.78204990,2.32992678
2.10487541,2.80094646,-0.12194057,0.06426104,0.19886870,4.80829670,2.71685838
2.15450547,2.85045774,-0.11850900,0.07486846,0.22850901,4.83836400,3.09123593
2.20413421,2.89992561,-0.11451628,0.08585519,0.21433683,4.87198890,3.45572518
2.25374044,2.94932580,-0.10999975,0.09688087,0.23007364,4.90909140,3.83298794
2.30335049,2.99867503,-0.10491930,0.10798751,0.21774666,4.94986390,4.22967714
2.35294985,3.04795588,-0.09930734,0.12161004,0.33132319,4.99434270,4.61741056
2.40257631,3.09716470,-0.09288257,0.13844034,0.34683882,5.04212150,4.79959825
2.45224426,3.14629664,-0.08560536,0.15799913,0.44075238,5.08935730,4.78905903
2.50194234,3.19528716,-0.07724900,0.18169557,0.51233976,5.13606530,4.77849697
2.55171496,3.24412198,-0.06763271,0.19849760,0.16356035,5.18226010,4.76822300
2.60148892,3.29287823,-0.05761891,0.20678002,0.16919169,5.22795540,4.75799214
