s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,1.72548492,0.85654604,-0.83179275,0.17883824,4.37627580,0.0
0.09963561,1.79324810,0.78350218,-0.81422694,0.17370790,4.43203370,0.0
0.19930290,1.86228744,0.71161936,-0.79731124,0.16580276,4.48698910,0.0
0.29896048,1.93249828,0.64089404,-0.78083778,0.16476001,4.54117140,0.0
0.39862937,2.00386906,0.57132322,-0.76457361,0.16163081,4.59460820,0.0
0.49829097,2.07634596,0.50291610,-0.74833088,0.16432563,4.64732530,0.0
0.59794400,2.14992702,0.43571080,-0.73185336,0.16634330,4.69878380,0.0
0.69760363,2.22461696,0.36973008,-0.71501866,0.17154840,4.74731190,0.0
0.79723956,2.30040582,0.30505112,-0.69769551,0.17609131,4.79004480,0.0
0.89690049,2.37733720,0.24169606,-0.67996114,0.17987732,4.82798290,0.0
0.99654202,2.45537662,0.17974218,-0.66175142,0.18554970,4.86063930,0.0
1.09620371,2.53456422,0.11922956,-0.64309442,0.18889902,4.88861410,0.0
1.19586007,2.61487262,0.06022150,-0.62393950,0.19557646,4.91250220,0.0
1.29547980,2.69628566,0.00281064,-0.60426178,0.19931117,4.93253100,0.0
1.39514484,2.77886030,-0.05299750,-0.58409115,0.20569141,4.94938940,0.0
1.49473702,2.86250002,-0.10706228,-0.56343349,0.20885374,4.93558470,0.0
1.59439695,2.94730416,-0.15941072,-0.54234450,0.21463674,4.91399280,0.0
1.69399305,3.03315324,-0.20990150,-0.52081305,0.21751182,4.89358550,0.0
1.79362620,3.12010844,-0.25853850,-0.49889091,0.22268461,4.87364880,0.0
1.89322934,3.20809460,-0.30522062,-0.47655066,0.22582380,4.85474690,0.0
1.99283265,3.29710860,-0.34991208,-0.45385919,0.22982636,4.83657600,0.0
2.09242613,3.38711334,-0.39255020,-0.43076462,0.23397556,4.81926460,0.0
2.19199480,3.47806436,-0.43306972,-0.40733955,0.23651710,4.80313920,0.0
2.29155053,3.56993232,-0.47143144,-0.38352330,0.24197959,4.78788060,0.0
2.39107002,3.66266378,-0.50755630,-0.35933386,0.24402900,4.77408470,0.0
