x,y,yaw,curvature,speed
-0.005000,-0.019835,-0.059589,0.732026,1.000
0.094877,-0.024422,-0.025710,0.403992,1.000
0.194875,-0.024975,-0.002887,0.052664,1.000
0.294875,-0.025000,-0.000127,0.002542,1.000
0.394875,-0.025000,-0.000000,0.000001,1.000
0.494875,-0.025000,0.000000,0.000000,1.000
0.594875,-0.025000,0.000000,0.000000,1.000
0.694875,-0.025000,0.000000,0.000000,1.000
0.794875,-0.025000,0.000000,0.000000,1.000
0.894875,-0.025000,0.000000,0.000000,1.000
0.994875,-0.025000,0.000000,0.000000,1.000
1.094875,-0.025000,0.000000,0.000000,1.000
1.194875,-0.025000,0.000000,0.000000,1.000
1.294875,-0.025000,0.000017,0.000334,1.000
1.394875,-0.024997,0.000678,0.012901,1.000
1.494875,-0.024864,0.009584,0.165232,1.000
1.594855,-0.023080,0.055087,0.745987,1.000
1.694390,-0.013863,0.138641,0.927719,1.000
1.792677,0.004524,0.167242,-0.353913,1.000
1.891523,0.019417,0.099343,-1.006572,1.000
1.991376,0.024328,0.027761,-0.427729,1.000
2.091373,0.024967,0.003374,-0.060276,1.000
2.191373,0.025003,0.000806,0.008900,1.000
2.291373,0.025128,0.009114,0.157283,1.000
2.391354,0.026826,0.053032,0.722194,1.000
2.490913,0.035720,0.136271,0.945287,1.000
2.589220,0.053957,0.175829,-0.151978,1.000
2.687790,0.070698,0.153576,-0.293187,1.000
2.786822,0.084545,0.170176,0.625750,1.000
2.884776,0.104547,0.218692,0.345200,1.000
2.982004,0.127923,0.235840,-0.002075,1.000
3.079238,0.151279,0.220285,-0.309112,1.000
3.177136,0.171617,0.197134,-0.154000,1.000
3.275344,0.190447,0.192703,0.065364,1.000
3.373422,0.209917,0.156731,-0.786416,1.000
3.472657,0.221628,0.073925,-0.872322,1.000
3.572591,0.224668,0.016800,-0.272257,1.000
3.672590,0.224987,0.001662,-0.030612,1.000
3.772590,0.225000,0.000066,-0.001312,1.000
3.872590,0.225000,0.000000,0.000000,1.000
3.972590,0.225000,0.000000,0.000000,1.000
4.072590,0.225000,0.000000,0.000000,1.000
4.172590,0.225000,0.000000,0.000000,1.000
4.272590,0.225000,0.000000,0.000000,1.000
4.372590,0.225000,0.000000,0.000000,1.000
4.472590,0.225000,0.000077,0.001538,1.000
4.572590,0.225015,0.001889,0.034699,1.000
4.672589,0.225378,0.018533,0.298304,1.000
4.772511,0.228721,0.079670,0.926934,1.000
4.871634,0.241269,0.171281,0.908877,1.000
4.969279,0.262757,0.226740,0.202657,1.000
5.066486,0.286223,0.227907,-0.179316,1.000
