s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,-0.00500000,-0.01983500,-0.05958320,1.22453937,1.5652,0.0
0.09998228,0.09487700,-0.02442200,-0.02571041,0.40365118,2.7262,0.0
0.19998181,0.19487500,-0.02497500,-0.00289002,0.05280060,7.5377,0.0
0.29998181,0.29487500,-0.02500000,-0.00012500,0.00250000,8.0000,0.0
0.39998181,0.39487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
0.49998181,0.49487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
0.59998181,0.59487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
0.69998181,0.69487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
0.79998181,0.79487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
0.89998181,0.89487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
0.99998181,0.99487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
1.09998181,1.09487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
1.19998181,1.19487500,-0.02500000,0.00000000,0.00000000,8.0000,0.0
1.29998181,1.29487500,-0.02500000,0.00001500,0.00030000,8.0000,0.0
1.39998181,1.39487500,-0.02499700,0.00068000,0.01299999,8.0000,0.0
1.49998190,1.49487500,-0.02486400,0.00958566,0.16511818,4.2625,0.0
1.59997781,1.59485500,-0.02308000,0.05508293,0.74494475,2.0068,0.0
1.69993865,1.69439000,-0.01386300,0.13864435,0.92588402,1.8000,0.0
1.79993073,1.79267700,0.00452400,0.16724311,-0.35399409,2.9111,0.0
1.89989239,1.89152300,0.01941700,0.09934027,-1.00391471,1.7287,0.0
1.99986608,1.99137600,0.02432800,0.02776369,-0.42755168,2.6489,0.0
2.09986513,2.09137300,0.02496700,0.00337504,-0.06030124,7.0534,0.0
2.19986513,2.19137300,0.02500300,0.00080500,0.00889999,8.0000,0.0
2.29986521,2.29137300,0.02512800,0.00911561,0.15731787,4.3669,0.0
2.39986063,2.39135400,0.02682600,0.05303232,0.72117935,2.0396,0.0
2.49981611,2.49091300,0.03572000,0.13626828,0.94321515,1.7834,0.0
2.59980038,2.58922000,0.05395700,0.17582955,-0.15194592,4.4434,0.0
2.69978191,2.68779000,0.07069800,0.15357708,-0.29312890,3.1991,0.0
2.79977729,2.78682200,0.08454500,0.17017263,0.62504871,2.1908,0.0
2.89975262,2.88477600,0.10454700,0.21868956,0.34520460,2.9480,0.0
2.99975122,2.98200400,0.12792300,0.23584214,-0.00208487,8.0000,0.0
3.09975099,3.07923800,0.15127900,0.22028645,-0.30905297,3.1156,0.0
3.19973925,3.17713600,0.17161700,0.19713470,-0.15397379,4.4140,0.0
3.29973615,3.27534400,0.19044700,0.19270220,0.06531236,6.7774,0.0
3.39972803,3.37342200,0.20991700,0.15673200,-0.78511257,1.9548,0.0
3.49965166,3.47265700,0.22162800,0.07392776,-0.87073141,1.8562,0.0
3.59963189,3.57259100,0.22466800,0.01679905,-0.27222596,3.3197,0.0
3.69963140,3.67259000,0.22498700,0.00166001,-0.03060027,8.0000,0.0
3.79963140,3.77259000,0.22500000,0.00006500,-0.00130000,8.0000,0.0
3.89963140,3.87259000,0.22500000,0.00000000,0.00000000,8.0000,0.0
3.99963140,3.97259000,0.22500000,0.00000000,0.00000000,8.0000,0.0
4.09963140,4.07259000,0.22500000,0.00000000,0.00000000,8.0000,0.0
4.19963140,4.17259000,0.22500000,0.00000000,0.00000000,8.0000,0.0
4.29963140,4.27259000,0.22500000,0.00000000,0.00000000,8.0000,0.0
4.39963140,4.37259000,0.22500000,0.00000000,0.00000000,8.0000,0.0
4.49963140,4.47259000,0.22500000,0.00007500,0.00150000,8.0000,0.0
4.59963140,4.57259000,0.22501500,0.00189001,0.03480025,8.0000,0.0
4.69963106,4.67258900,0.22537800,0.01853520,0.29815842,3.1720,0.0
4.79960897,4.77251100,0.22872100,0.07966724,0.92493805,1.8010,0.0
4.89952304,4.87163400,0.24126900,0.17128044,0.90705805,1.8186,0.0
4.99950444,4.96927900,0.26275700,0.22674113,0.20262270,3.8478,0.0
5.09950371,5.06648600,0.28622300,0.22790717,-0.17929590,4.0905,0.0
5.19948652,5.16408200,0.30793900,0.17501245,-0.87904625,1.8474,0.0
5.29940333,5.26314200,0.32099600,0.08346024,-0.95172155,1.7754,0.0
5.39938074,5.36305500,0.32458400,0.01994113,-0.31908083,3.0663,0.0
5.49938053,5.46305400,0.32498300,0.00208001,-0.03820020,8.0000,0.0
5.59938053,5.56305400,0.32500000,0.00008500,-0.00170000,8.0000,0.0
5.69938053,5.66305400,0.32500000,0.00000000,0.00000000,8.0000,0.0
5.79938053,5.76305400,0.32500000,0.00000000,0.00000000,8.0000,0.0
5.89938053,5.86305400,0.32500000,0.00000000,0.00000000,8.0000,0.0
5.99938053,5.96305400,0.32500000,0.00005500,0.00110000,8.0000,0.0
6.09938054,6.06305400,0.32501100,0.00147001,0.02720028,8.0000,0.0
6.19937994,6.16305300,0.32529400,0.01539325,0.25130299,3.4551,0.0
6.29936201,6.26299600,0.32808900,0.06996017,0.84038911,1.8894,0.0
